70294003::other::What is blue?::70294::bus::_predadj(A, B)::_predadj(_$qVar, blue)
225946012::yes/no::Is the train green?::225946::yes::_predadj(A, B)::_predadj(train, green)
555035006::yes/no::Are the walls yellow?::555035::no::_predadj(A, B)::_predadj(wall, yellow)
347377011::yes/no::Is the water clear?::347377::yes::_predadj(A, B)::_predadj(water, clear)
556608000::yes/no::Are the chairs wooden?::556608::yes::_predadj(A, B)::_predadj(chair, wooden)
236290000::other::What is silver?::236290::escalator::_predadj(A, B)::_predadj(_$qVar, silver)
345822002::yes/no::Is the sky clear?::345822::yes::_predadj(A, B)::_predadj(sky, clear)
321805009::yes/no::Is the building old?::321805::no::_predadj(A, B)::_predadj(building, old)
75344000::other::What are  green?::75344::plants::_predadj(A, B)::_predadj(_$qVar, green)
410934002::other::What is green?::410934::leaves::_predadj(A, B)::_predadj(_$qVar, green)
509423007::yes/no::Is the sky blue?::509423::no::_predadj(A, B)::_predadj(sky, blue)
227316003::yes/no::Is the sky clear?::227316::yes::_predadj(A, B)::_predadj(sky, clear)
348631001::yes/no::Is the wave big?::348631::yes::_predadj(A, B)::_predadj(wave, big)
128791004::yes/no::Is the bird large?::128791::no::_predadj(A, B)::_predadj(bird, large)
24097000::yes/no::Is the sky clear?::24097::yes::_predadj(A, B)::_predadj(sky, clear)
412431001::yes/no::Is the clock old?::412431::yes::_predadj(A, B)::_predadj(clock, old)
16410009::yes/no::Is the vase blue?::16410::yes::_predadj(A, B)::_predadj(vase, blue)
40711000::yes/no::Are the buildings old?::40711::yes::_predadj(A, B)::_predadj(building, old)
336487000::yes/no::Is the picture clear?::336487::yes::_predadj(A, B)::_predadj(picture, clear)
145208002::yes/no::Is the wave big?::145208::yes::_predadj(A, B)::_predadj(wave, big)
48653006::yes/no::Is the sky clear?::48653::yes::_predadj(A, B)::_predadj(sky, clear)
141278001::yes/no::Is the laptop open?::141278::yes::_predadj(A, B)::_predadj(laptop, open)
320641015::yes/no::Is the water clear?::320641::yes::_predadj(A, B)::_predadj(water, clear)
298137000::yes/no::Is the sky clear?::298137::no::_predadj(A, B)::_predadj(sky, clear)
225261002::yes/no::Is the clock old?::225261::yes::_predadj(A, B)::_predadj(clock, old)
102741006::yes/no::Is the light green?::102741::no::_predadj(A, B)::_predadj(light, green)
240718001::other::Why is the door open?::240718::cooling food::_predadj(A, B)::_predadj(door, open)
217397006::yes/no::Is the bowl large?::217397::no::_predadj(A, B)::_predadj(bowl, large)
148830003::other::What is green?::148830::broccoli::_predadj(A, B)::_predadj(_$qVar, green)
92648004::yes/no::Is the sky clear?::92648::no::_predadj(A, B)::_predadj(sky, clear)
292485000::yes/no::Is the grass green?::292485::yes::_predadj(A, B)::_predadj(grass, green)
108315000::yes/no::Is the bed orange?::108315::yes::_predadj(A, B)::_predadj(bed, orange)
114891010::yes/no::Is the dog small?::114891::yes::_predadj(A, B)::_predadj(dog, small)
136218001::yes/no::Is the plane large?::136218::yes::_predadj(A, B)::_predadj(plane, large)
358427005::other::What is green?::358427::broccoli::_predadj(A, B)::_predadj(_$qVar, green)
473250000::yes/no::Is the umbrella pink?::473250::yes::_predadj(A, B)::_predadj(umbrella, pink)
306173001::yes/no::Is the cat red?::306173::no::_predadj(A, B)::_predadj(cat, red)
23411001::yes/no::Is the grass green?::23411::no::_predadj(A, B)::_predadj(grass, green)
54344009::yes/no::Is the sky clear?::54344::yes::_predadj(A, B)::_predadj(sky, clear)
96402030::other::What is green?::96402::pillows::_predadj(A, B)::_predadj(_$qVar, green)
396736003::yes/no::Are the trees large?::396736::no::_predadj(A, B)::_predadj(tree, large)
192788000::yes/no::Are the skies blue?::192788::no::_predadj(A, B)::_predadj(sky, blue)
18771006::yes/no::Is the water green?::18771::yes::_predadj(A, B)::_predadj(water, green)
75560003::yes/no::Is the sky blue?::75560::no::_predadj(A, B)::_predadj(sky, blue)
45596002::yes/no::Are the umbrellas open?::45596::yes::_predadj(A, B)::_predadj(umbrella, open)
268943000::yes/no::Is the picture clear?::268943::yes::_predadj(A, B)::_predadj(picture, clear)
573947001::yes/no::Is the light green?::573947::yes::_predadj(A, B)::_predadj(light, green)
217039000::yes/no::Is the sky clear?::217039::yes::_predadj(A, B)::_predadj(sky, clear)
121570008::yes/no::Is the wave big?::121570::no::_predadj(A, B)::_predadj(wave, big)
509460007::yes/no::Is the bench green?::509460::no::_predadj(A, B)::_predadj(bench, green)
465552003::yes/no::Is the table wooden?::465552::no::_predadj(A, B)::_predadj(table, wooden)
444495004::yes/no::Are the leaves large?::444495::no::_predadj(A, B)::_predadj(leaf, large)
254789012::yes/no::Is the sky clear?::254789::no::_predadj(A, B)::_predadj(sky, clear)
488573008::other::What is red?::488573::arch::_predadj(A, B)::_predadj(_$qVar, red)
488573014::yes/no::Is the light green?::488573::yes::_predadj(A, B)::_predadj(light, green)
448690001::yes/no::Is the sky clear?::448690::yes::_predadj(A, B)::_predadj(sky, clear)
2521004::yes/no::Is the building yellow?::2521::no::_predadj(A, B)::_predadj(building, yellow)
158272003::other::What is striped?::158272::pants::_predadj(A, B)::_predadj(_$qVar, striped)
154230002::yes/no::Is the laptop open?::154230::no::_predadj(A, B)::_predadj(laptop, open)
236308002::yes/no::Is the sky clear?::236308::yes::_predadj(A, B)::_predadj(sky, clear)
50756004::yes/no::Is the water blue?::50756::no::_predadj(A, B)::_predadj(water, blue)
235784005::yes/no::Is the woman old?::235784::no::_predadj(A, B)::_predadj(woman, old)
330037004::yes/no::Is the dog big?::330037::no::_predadj(A, B)::_predadj(dog, big)
81251000::yes/no::Is the table wooden?::81251::yes::_predadj(A, B)::_predadj(table, wooden)
401591000::yes/no::Is the water blue?::401591::yes::_predadj(A, B)::_predadj(water, blue)
546687001::yes/no::Is the road clear?::546687::no::_predadj(A, B)::_predadj(road, clear)
232160002::yes/no::Is the ball green?::232160::no::_predadj(A, B)::_predadj(ball, green)
7278002::other::Why is the wave green?::7278::algae::_predadj(A, B)::_predadj(wave, green)
66523001::yes/no::Are the pillows pink?::66523::no::_predadj(A, B)::_predadj(pillow, pink)
61805004::yes/no::Is the sky clear?::61805::yes::_predadj(A, B)::_predadj(sky, clear)
572510004::yes/no::Is the woman young?::572510::yes::_predadj(A, B)::_predadj(woman, young)
324436004::other::Why is the elephant gray?::324436::yes::_predadj(A, B)::_predadj(elephant, gray)
553588000::yes/no::Is the sky clear?::553588::yes::_predadj(A, B)::_predadj(sky, clear)
231037001::yes/no::Is the wave big?::231037::yes::_predadj(A, B)::_predadj(wave, big)
400983004::yes/no::Is the kite big?::400983::yes::_predadj(A, B)::_predadj(kite, big)
533628001::yes/no::Is the water blue?::533628::no::_predadj(A, B)::_predadj(water, blue)
474862002::yes/no::Is the water green?::474862::no::_predadj(A, B)::_predadj(water, green)
480105001::yes/no::Are the plants green?::480105::yes::_predadj(A, B)::_predadj(plant, green)
501531002::yes/no::Are the windows open?::501531::no::_predadj(A, B)::_predadj(windows, open)
41276011::yes/no::Is the sky blue?::41276::yes::_predadj(A, B)::_predadj(sky, blue)
304252000::yes/no::Is the water clear?::304252::no::_predadj(A, B)::_predadj(water, clear)
240275007::yes/no::Is the wave big?::240275::no::_predadj(A, B)::_predadj(wave, big)
544639007::yes/no::Are the grasses green?::544639::yes::_predadj(A, B)::_predadj(grass, green)
465996001::other::Why are the lights red?::465996::stop::_predadj(A, B)::_predadj(light, red)
146659002::yes/no::Is the sky clear?::146659::yes::_predadj(A, B)::_predadj(sky, clear)
517855002::yes/no::Is the player tall?::517855::yes::_predadj(A, B)::_predadj(player, tall)
153607000::yes/no::Is the vase blue?::153607::yes::_predadj(A, B)::_predadj(vase, blue)
447160006::yes/no::Is the grass green?::447160::no::_predadj(A, B)::_predadj(grass, green)
369482004::yes/no::Is the light red?::369482::yes::_predadj(A, B)::_predadj(light, red)
111054002::yes/no::Is the grass green?::111054::yes::_predadj(A, B)::_predadj(grass, green)
234945000::yes/no::Is the background clear?::234945::no::_predadj(A, B)::_predadj(background, clear)
319283000::other::What is silver?::319283::fork and knife::_predadj(A, B)::_predadj(_$qVar, silver)
547300002::yes/no::Is the ball green?::547300::no::_predadj(A, B)::_predadj(ball, green)
185590003::yes/no::Is the sky clear?::185590::yes::_predadj(A, B)::_predadj(sky, clear)
123810000::other::What have the women been doing?::123810::getting married::_predadj(A, B)::_predadj(woman, _$qVar)
534194026::yes/no::Is the water clear?::534194::no::_predadj(A, B)::_predadj(water, clear)
501385000::yes/no::Are the doors open?::501385::yes::_predadj(A, B)::_predadj(door, open)
246327008::other::What is silver?::246327::refrigerator::_predadj(A, B)::_predadj(_$qVar, silver)
182398000::yes/no::Is the bus striped?::182398::yes::_predadj(A, B)::_predadj(bus, striped)
502214003::yes/no::Is the picture old?::502214::no::_predadj(A, B)::_predadj(picture, old)
63958007::yes/no::Are the grasses green?::63958::no::_predadj(A, B)::_predadj(grass, green)
384823027::yes/no::Is the wall yellow?::384823::no::_predadj(A, B)::_predadj(wall, yellow)
263664006::other::What is red?::263664::motorcycle::_predadj(A, B)::_predadj(_$qVar, red)
475923000::other::What is blue?::475923::door::_predadj(A, B)::_predadj(_$qVar, blue)
223130001::yes/no::Is the grass green?::223130::no::_predadj(A, B)::_predadj(grass, green)
145700002::yes/no::Is the road clear?::145700::yes::_predadj(A, B)::_predadj(road, clear)
116358001::yes/no::Is the sky clear?::116358::no::_predadj(A, B)::_predadj(sky, clear)
264238005::yes/no::Is the sky clear?::264238::yes::_predadj(A, B)::_predadj(sky, clear)
209664008::yes/no::Is the picture clear?::209664::no::_predadj(A, B)::_predadj(picture, clear)
297970001::other::What is green?::297970::grass::_predadj(A, B)::_predadj(_$qVar, green)
440400003::yes/no::Is the umbrella clear?::440400::yes::_predadj(A, B)::_predadj(umbrella, clear)
564132000::yes/no::Is the road clear?::564132::no::_predadj(A, B)::_predadj(road, clear)
192755004::yes/no::Is the sky blue?::192755::yes::_predadj(A, B)::_predadj(sky, blue)
45564003::yes/no::Is the water clear?::45564::no::_predadj(A, B)::_predadj(water, clear)
228541013::yes/no::Is the sky clear?::228541::yes::_predadj(A, B)::_predadj(sky, clear)
133645002::yes/no::Is the water clear?::133645::yes::_predadj(A, B)::_predadj(water, clear)
431481000::other::What is green?::431481::broccoli::_predadj(A, B)::_predadj(_$qVar, green)
